DNA sample ethnicity and id,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,DNA sample ethnicity,sample id
Abkhasian:350_R02C02,0.106994,0.119832,-0.050911,-0.048127,-0.037853,-0.008646,0.008695,-0.010153,-0.064016,-0.02041,-0.001461,0.012739,-0.024083,0.005505,0.002172,-0.022673,0.014994,-0.003547,-0.018603,0.022636,0.017344,0.005564,0.010106,-0.000723,-0.005748,Abkhasian,350_R02C02
Abkhasian:460_R01C01,0.101303,0.103584,-0.054305,-0.042636,-0.048624,-0.003904,0.009635,-0.002769,-0.05788,-0.026606,-0.004222,0.007643,-0.021407,0.003991,0.005565,-0.024662,0.00352,-0.002027,-0.005279,0.021885,0.015597,-0.000124,-0.004314,-0.01446,0.004071,Abkhasian,460_R01C01
Abkhasian:460_R02C01,0.104717,0.118817,-0.048271,-0.043282,-0.044624,-0.006136,0.013161,-0.010153,-0.06647,-0.015672,-0.00406,0.011839,-0.023637,0.000826,0.001764,-0.032484,0.011343,-0.006208,-0.015964,0.016758,0.011854,0.006059,0.001972,-0.011809,-0.003592,Abkhasian,460_R02C01
Abkhasian:460_R02C02,0.114961,0.11577,-0.028284,-0.019057,-0.019696,-0.001116,0.008695,-0.003692,-0.057676,-0.024966,-0.001137,0.008842,-0.020961,0.006606,-0.003529,-0.01485,0.015776,-0.008235,-0.009176,0.02126,0.010856,-0.004822,0.0053,-0.011929,0.004191,Abkhasian,460_R02C02
Abkhasian:462_R01C01,0.111547,0.114755,-0.041106,-0.04199,-0.040623,-0.008925,0.011751,-0.006692,-0.061153,-0.02041,0.001137,0.007643,-0.026908,0.000275,0.001086,-0.017237,0.015776,-0.009375,-0.013952,0.019509,0.015847,0.005317,0.002958,-0.011447,-0.000479,Abkhasian,462_R01C01
Abkhasian:462_R01C02,0.113823,0.114755,-0.048271,-0.042313,-0.039392,-0.002789,0.014336,-0.003692,-0.06463,-0.019317,-0.000487,0.008542,-0.028692,0.002202,0.0038,-0.023203,0.013951,-0.003547,-0.015335,0.02101,0.013601,0.00643,0.003328,-0.003012,-0.001796,Abkhasian,462_R01C02
Adygei:247_R01C02,0.112685,0.1046,-0.03017,-0.026809,-0.030159,-0.001394,0.008695,-0.001846,-0.047859,-0.019864,0.000812,0.006444,-0.017245,0.001927,0.00285,-0.016839,0.005085,-0.00076,-0.013701,0.015507,0.003619,0.003586,0.004807,-0.004699,0.001437,Adygei,247_R01C02
Adygei:247_R02C01,0.108132,0.094444,-0.021873,-0.00969,-0.034468,0.000837,0.015276,-0.005769,-0.04704,-0.021868,0,0.010641,-0.022299,0.008945,0.008415,-0.021347,0.001173,-0.004814,-0.014078,0.014257,0.013351,0.001113,-0.001849,-0.009037,0.000479,Adygei,247_R02C01
Adygei:247_R02C02,0.1161,0.105615,-0.032055,-0.014535,-0.039392,-0.00502,0.0047,-0.005077,-0.052563,-0.032438,0.003248,0.009591,-0.018731,0.00055,0.002172,-0.005569,0.020079,-0.004561,-0.008673,0.028889,0.003868,-0.001237,0.008011,-0.008917,-0.009101,Adygei,247_R02C02
Adygei:261_R01C01,0.119514,0.110693,-0.032432,-0.025517,-0.038776,-0.006136,0.00705,-0.003231,-0.062584,-0.030798,0.002436,0.00015,-0.021407,0.003716,0.004072,-0.010607,0.016168,-0.007348,-0.00729,0.024887,0.012728,-0.00643,-0.003328,-0.008796,-0.005987,Adygei,261_R01C01
Adygei:261_R01C02,0.113823,0.106631,-0.036581,-0.015504,-0.030775,-0.000279,0.01081,-0.007154,-0.052563,-0.023144,0.005196,0.008093,-0.022894,-0.001101,0.007329,-0.015911,0.009648,-0.006461,-0.013701,0.014382,0.016097,0.001607,0.001972,-0.011447,-0.009819,Adygei,261_R01C02
Adygei:261_R02C01,0.113823,0.107646,-0.029415,-0.020672,-0.03693,0.002231,0.002115,-0.005769,-0.044791,-0.02278,-0.001461,0.009442,-0.017096,0.012386,0.0057,-0.028772,-0.006128,-0.005574,-0.014581,0.018259,0.003244,0.002226,0.002095,-0.012893,-0.003233,Adygei,261_R02C01
Adygei:262_R01C01,0.111547,0.113739,-0.036204,-0.016796,-0.030775,-0.00502,0.012926,0.001615,-0.052563,-0.03098,0.002761,0.009891,-0.026462,0.005505,0.011943,-0.027048,-0.000782,-0.001647,-0.010559,0.016508,0.02009,0.006554,0.001109,0.001566,-0.001676,Adygei,262_R01C01
Adygei:262_R01C02,0.108132,0.102568,-0.024513,-0.020026,-0.030467,0.000558,0.009635,-0.001615,-0.048677,-0.016583,-0.00065,0.007343,-0.019921,0.008395,0.008143,-0.016706,0.010691,-0.000507,-0.01345,0.022136,0.006738,0.004946,0.005053,-0.005422,0.002754,Adygei,262_R01C02
Adygei:262_R02C01,0.111547,0.084289,-0.024513,-0.023579,-0.029236,-0.004462,0.011281,0,-0.056653,-0.019499,-0.006171,0.006145,-0.015461,0.000688,-0.003529,-0.003315,0.022165,-0.009882,-0.01169,0.019384,0.006364,-0.004328,0.005546,-0.005663,-0.000479,Adygei,262_R02C01
Aeta:GS000035250,-0.021626,-0.321923,-0.098428,0.041667,0.099095,-0.01004,0.002585,-0.011076,0.008385,0.003645,0.04011,3.00E-04,-0.005946,0.000413,0.004207,-0.001591,0.005085,0.004434,-0.002011,0.006003,0.003494,-0.016322,-0.007025,-0.007832,-0.059396,Aeta,GS000035250
Aeta:GS000035257,-0.011382,-0.344264,-0.086361,0.024871,0.109251,-0.003068,0.002115,-0.016845,0.001023,-0.000729,0.044819,0.003597,-0.008474,0.003303,0.005157,0.001724,0.012256,0.009882,0.003771,0.000375,0.003244,-0.019537,-0.005053,-0.007109,-0.049337,Aeta,GS000035257
Afrikaner:AFR001,0.10927,0.127957,0.043746,0.033592,0.041238,0.010598,0.00188,0.004846,0.005318,0.006014,-0.004222,0.002847,-0.007433,-0.018304,0.013572,0.017369,0.011995,0.002027,0.00352,0.006378,0.003119,0.001484,0.003697,0.010604,0.002634,Afrikaner,AFR001
Afrikaner:AFR002,0.111547,0.119832,0.056568,0.046512,0.038776,0.021475,0.003995,0.000923,0.005318,0.003827,-0.001299,0.000899,-0.005946,-0.013625,0.011129,0.002121,-0.00352,0.001774,-0.005028,0.004502,-0.001622,0.001731,0.002835,0.00735,0.006466,Afrikaner,AFR002
Afrikaner:AFR014,0.112685,0.12491,0.051666,0.03876,0.035083,0.014781,0.00564,0.002077,0.009204,0.008565,-0.004384,0.002398,-0.007582,-0.003441,0.014658,-0.005569,-0.011604,0.006081,0.004777,-0.000125,0.008235,-0.001113,0.001232,0.008435,0.000599,Afrikaner,AFR014
Afrikaner:AFR018,0.119514,0.137096,0.05242,0.037145,0.035391,0.01255,0.007755,0.010384,0.006136,0.005649,-0.003085,0.009292,-0.011447,-0.00867,0.014794,0.001193,0.001565,-0.00076,-0.003645,0.008004,0.002121,0.000495,-0.00037,0.013375,-0.003233,Afrikaner,AFR018
Afrikaner:AFR019,0.124067,0.132019,0.049403,0.027778,0.034776,0.014223,-0.001175,0.001846,0.003272,0.002551,-0.009256,0.001199,-0.004608,-0.013487,0.009908,0.010209,0.014081,0.002407,-0.001508,0.006628,0.003993,-0.001113,0.003328,0.005904,-0.006227,Afrikaner,AFR019
Afrikaner:AFR021,0.122929,0.12491,0.058454,0.042636,0.03416,0.017849,0.00094,0.011307,0.007976,0.004738,-0.006333,0.002398,-0.000297,-0.004542,0.012351,0.002519,-0.008996,0.004687,-0.00088,0.002001,0.003494,0.00643,0.007272,0.011568,0.005987,Afrikaner,AFR021
Afrikaner:AFR022,0.110408,0.129988,0.050911,0.041667,0.030775,0.010877,0.003995,0.008538,0.009613,0.003098,-0.00747,0.005395,-0.007136,0,0.021444,-0.005569,-0.02021,0.003674,0.001885,0.002626,0.002121,0.000247,-0.000616,0.014219,0.005987,Afrikaner,AFR022
Afrikaner:AFR024,0.111547,0.132019,0.061848,0.042636,0.038776,0.021475,0.00799,0.011538,0.006749,-0.000364,-0.004872,0.002997,-0.009514,-0.009083,0.014522,0.01485,0.011865,0.004181,-0.002011,0.013757,0.003619,0.002102,-0.00037,0.012652,-0.008382,Afrikaner,AFR024
Afrikaner:AFR035,0.119514,0.136081,0.052043,0.047158,0.034468,0.017291,0.00658,0.010846,0.006954,0.002005,0.004384,0.002847,-0.007879,-0.003853,0.014386,-0.003845,-0.018906,0.008868,0.005405,0.003752,0.006114,-0.001484,0.000739,0.008194,0.000838,Afrikaner,AFR035
Afrikaner:AFR046,0.110408,0.123895,0.050157,0.042959,0.038469,0.012829,0.003995,0.006231,-0.000614,0.00328,-0.009256,0.004196,-0.005352,0.003165,0.014251,0.00769,0.002347,0.003927,0.005656,0.007128,-0.000374,0.003215,-0.003081,0.006507,0.000359,Afrikaner,AFR046
Afrikaner:AFR049,0.117238,0.128972,0.046386,0.037468,0.032314,0.017849,0.008695,0.007846,0.001841,0.015308,0.001949,0.007643,-0.011596,-0.001789,0.010993,0.00053,-0.004433,0.005194,0.007542,-0.001126,0.001248,0.003091,-0.003451,0.013375,-0.005508,Afrikaner,AFR049
Afrikaner:AFR051,0.103579,0.128972,0.053928,0.041667,0.038776,0.020359,0.002115,0.006231,0,0,0.001299,0.004646,-0.010704,-0.004129,0.021172,-0.004773,-0.017602,0.003801,0.012318,0.003377,0.001996,0.001607,0,0.006025,-0.00012,Afrikaner,AFR051
Afrikaner:AFR053,0.124067,0.13405,0.054682,0.036499,0.038161,0.012829,-0.000705,0.004615,0.007772,0.007289,-0.006008,0.007044,-0.012487,-0.008945,0.019272,0.001856,-0.002217,-0.000633,0.001257,0.007504,0.011355,0.001607,0.003944,0.001566,0.003353,Afrikaner,AFR053
Afrikaner:AFR056,0.118376,0.137096,0.052797,0.036822,0.041238,0.005578,0.00611,0.004615,0.009613,0.004556,-0.001949,0.004946,-0.01442,-0.012248,0.015201,0.005038,-0.009909,-0.000507,0.000754,0.004002,0.004742,0.007543,-0.003697,0.020244,-0.001796,Afrikaner,AFR056
Afrikaner:AFR057,0.121791,0.128972,0.05242,0.031008,0.037238,0.01506,0.004465,0.008307,0.012271,0.012939,0.000812,0.006444,-0.011744,-0.010872,0.007872,0.005304,-0.005607,0.003674,0.002514,-0.001,0.001248,0.002597,-0.002588,0.004097,-0.00012,Afrikaner,AFR057
Afrikaner:AFR064,0.110408,0.122879,0.049403,0.044574,0.03693,0.019243,0.001175,0.003,0.013499,0.005649,-0.001949,0.002847,-0.005352,-0.000826,0.009772,-0.001724,-0.01369,0.00076,-0.001885,0.005878,0.001996,0.001484,0.00037,0.006386,0.007424,Afrikaner,AFR064
Afrikaner:AFR067,0.103579,0.122879,0.04186,0.037145,0.032621,0.023985,0.01034,0.002308,0.008385,-0.005285,-0.003085,0.00045,-0.0055,0.005092,0.010179,-0.00769,-0.019558,0.009755,0.007039,-0.000375,0.001996,0.001484,0.003451,0.007832,0.00491,Afrikaner,AFR067
Afrikaner:AFR076,0.12862,0.116786,0.046386,0.036176,0.041546,0.011713,0.000705,0.010153,0.008795,0.011116,-0.012829,0.005245,-0.013528,-0.014313,0.017101,0.003978,-0.009779,0.003167,0.005531,0.005253,-0.001248,0.004575,-0.002588,0.012291,0.003113,Afrikaner,AFR076
Afrikaner:AFR081,0.112685,0.131003,0.04978,0.047158,0.033237,0.015897,0.001645,0.005769,0.004295,0.008565,-0.00682,0.003447,-0.014717,-0.009634,0.021037,0.005701,-0.0103,0.00114,0.000754,-0.004252,-0.00262,-0.000371,-0.004067,0.015183,-0.003113,Afrikaner,AFR081
Afrikaner:AFR086,0.125205,0.139128,0.057699,0.039083,0.035083,0.01255,0.00282,0.006692,0.008181,0.002734,-0.005034,0.008243,-0.004014,-0.003303,0.012079,-0.006762,-0.022035,0.00076,0.003897,0.000875,0.009234,0.004946,-0.001479,0.008435,-0.001676,Afrikaner,AFR086
Afrikaner:AFR089,0.103579,0.132019,0.061094,0.041344,0.037238,0.010598,0.005875,0.007154,0.001636,0.000729,-0.01153,0.006145,-0.009663,-0.013074,0.016015,0.012861,0.002999,0.004561,0.007039,0.001,0.004492,0.002226,0.002835,0.013978,-0.000239,Afrikaner,AFR089
Afrikaner:AFR094,0.12862,0.136081,0.059585,0.028424,0.048932,0.010319,-0.00094,0.007384,0.010635,0.011116,-0.001461,0.002548,-0.013231,-0.013625,0.010315,0.013259,0.013169,0.00228,0.002263,0.011881,0.007986,0.004575,0.002711,0.012893,-0.004191,Afrikaner,AFR094
Agta:GS000035392,-0.020488,-0.340202,-0.097674,0.026163,0.107712,-0.006414,-0.00047,-0.00923,0.005318,0.000364,0.043358,0.002398,-0.002676,-0.007844,0.0038,0.00305,0.011474,0.013682,0.007793,-0.002501,-0.001497,-0.031655,-0.013557,-0.006748,-0.069215,Agta,GS000035392
Agta:GS000035435,-0.021626,-0.322938,-0.093526,0.042313,0.10125,-0.021475,0.000705,-0.009,0.008795,0.002369,0.038811,0.006744,-0.006244,-0.004679,0.003664,-0.002519,0.007432,0.009628,0.002388,0.00963,0,-0.024731,-0.00949,-0.009519,-0.053887,Agta,GS000035435
Ahiska:Ahiska1,0.106994,0.131003,-0.051288,-0.04522,-0.031698,-0.009482,0.00423,-0.003,-0.047654,-0.014579,-0.000974,0.010341,-0.016204,0.013212,0.004072,-0.021612,0.001695,-0.003294,-0.01433,0.007504,0.006114,-0.000371,-0.001232,-0.00976,0,Ahiska,Ahiska1
Ahiska:Ahiska2,0.112685,0.125926,-0.048649,-0.049742,-0.032929,-0.010319,0.004465,-0.004846,-0.050517,-0.014397,-0.00341,0.01154,-0.01665,-0.000138,-0.003936,-0.008088,0.011343,-0.002787,-0.006788,0.008254,0.000125,0.00371,-0.000246,-0.003735,-0.00491,Ahiska,Ahiska2
Ahiska:Ahiska3,0.114961,0.131003,-0.055814,-0.050711,-0.035391,-0.01004,0.006345,-0.011999,-0.052767,-0.01713,0.009256,0.012139,-0.015015,0.000688,-0.000407,-0.015911,0.007693,-0.00266,0.000377,0.009004,0.007362,0.00136,-0.000616,-0.004699,-0.002994,Ahiska,Ahiska3
Albanian:AL12,0.124067,0.141159,0.021119,-0.01615,0.029544,-0.005299,0.00423,0.001385,0.000818,0.02278,0.002923,0.005245,-0.016055,-0.005092,-0.018187,0.004641,0.026468,0.000633,0.011313,-0.007003,-0.007736,0.008532,0.001849,0.006507,-0.007784,Albanian,AL12
Albanian:AL17,0.122929,0.149283,0.004148,-0.024548,0.029236,-0.011156,0.003055,0.001846,0.007772,0.012757,0.000812,0.002098,-0.005203,0.009358,-0.015472,-0.009149,-0.006258,0.004561,0.013324,-0.011255,-0.004866,0.002226,0.005176,-0.003615,-0.006586,Albanian,AL17
Albanian:AL29,0.117238,0.147252,0.013576,-0.023256,0.02185,-0.009761,0.00047,0.002308,0.005727,0.021322,0.000974,0.001199,-0.005203,0.012386,-0.016694,-0.004641,0.014603,0.00076,0.005279,-0.005253,-0.012228,-0.001607,0.000986,0.000964,-0.000838,Albanian,AL29
Albanian:AL82,0.121791,0.139128,0.020365,-0.010659,0.020927,-0.003626,0.000235,-0.003,0.000614,0.011299,0.001949,-0.001349,-0.005798,0.011836,-0.013436,-0.01538,-0.009127,0.002787,0.007919,-0.007253,-0.001996,-0.001237,0.002835,-0.001325,0.000359,Albanian,AL82
Albanian:AL9,0.103579,0.141159,0.018856,-0.011951,0.028313,-0.00502,0.00141,-0.002769,0,0.01713,0.001624,0.004196,-0.009366,0.00289,-0.014115,0.000663,0.005998,0,0.006159,-0.006128,-0.006364,0.004204,0.001602,0.007832,-0.004431,Albanian,AL9
Albanian:AL98,0.111547,0.137096,0.010182,-0.013889,0.018157,-0.012271,-0.001175,-0.001846,-0.001636,0.022415,0.001137,0.004196,-0.008176,0.003165,-0.022258,0.002387,0.026859,-0.000127,0.004777,-0.000625,-0.012603,-0.00272,0.002588,0.00482,-0.007784,Albanian,AL98
Albanian:ALB191,0.118376,0.137096,0.022627,-0.008398,0.021235,-0.01255,0.008225,0.006461,-0.00634,0.007836,-0.002923,0.005245,0.003865,0.007019,-0.029587,-0.001458,0.011474,0.003421,0.006034,-0.01088,-0.009982,-0.001855,0.001972,-0.000964,-0.004191,Albanian,ALB191
Albanian:ALB202,0.122929,0.136081,0.015085,-0.016796,0.026159,0.003068,0.00517,0.006692,-0.009408,0.012392,0.003248,-0.001049,-0.00223,0.003991,-0.017915,-0.006497,0.006258,0.000887,0.008799,-0.003126,-0.003868,-0.002597,0.002095,-0.003494,-0.001317,Albanian,ALB202
Albanian:ALB212,0.124067,0.147252,0.016216,-0.024871,0.023697,-0.010319,0.00329,-0.001154,0.005113,0.019499,-0.001624,0.002997,-0.01115,0.011423,-0.027416,-0.011933,0.002999,0.009375,0.009176,-0.014257,-0.004742,0.003833,0.001725,0.001205,-0.003952,Albanian,ALB212
Albanian:ALB213,0.119514,0.137096,0.012822,-0.008398,0.02739,-0.003904,0.0047,0,0.003886,0.017312,0.003897,0.003897,-0.003122,0.00578,-0.020494,-0.003182,0.004303,-0.004814,0.004525,0.001126,0.00287,-0.004081,0.005669,0.006748,0.002994,Albanian,ALB213
Albanian:ALB220,0.10927,0.147252,0.013953,-0.021641,0.023697,-0.009761,0.006345,0.005769,-0.005522,0.013485,-0.005846,-0.001798,-0.016799,0.004817,-0.019137,0.003447,0.013299,-0.004054,0.01433,-0.001251,-0.008235,0.002349,0.003328,0.006145,0.001078,Albanian,ALB220
Albanian:ALB230,0.122929,0.141159,0.017725,-0.010013,0.031698,-0.008367,0.004465,0.006,0.006954,0.015308,0.007145,-0.006294,-0.005946,0.011698,-0.016829,-0.008751,0.000652,0.004561,0.007919,-0.005378,0.002995,0.001607,-0.000739,0.001566,0.002155,Albanian,ALB230
Algerian:ALG100,-0.055773,0.137096,-0.019233,-0.073644,0.018773,-0.026495,-0.020916,0.003,0.064425,0.011116,0.007957,-0.009292,0.01219,-0.007707,0.013708,-0.003447,0.001695,-0.02141,-0.026145,0.009254,-0.010482,-0.023247,0.015036,0.005663,-0.000958,Algerian,ALG100
Algerian:ALG140,-0.054635,0.125926,-0.001508,-0.062016,0.021542,-0.025937,-0.029611,0.01223,0.053585,0.028611,0.011692,-0.015886,0.022299,-0.026286,0.017101,-0.014452,-0.006258,-0.020397,-0.027151,0.015382,-0.007612,-0.025596,0.02391,0.003976,0.001557,Algerian,ALG140
Algerian:ALG160,-0.073985,0.136081,-0.010559,-0.064923,0.01908,-0.019522,-0.024206,0.013384,0.067493,0.019864,-0.001949,-0.009891,0.031813,-0.018304,0.011536,-0.011933,-0.017341,-0.008488,-0.034567,0.014132,-0.010606,-0.030666,0.01898,-0.005904,0.003712,Algerian,ALG160
Algerian:ALG200,0,0.149283,-0.004148,-0.061693,0.033545,-0.038766,-0.024441,0.003692,0.049495,0.031709,0.005684,0.002698,0.016055,-0.018441,0.016965,-0.016839,-0.003651,-0.015963,-0.026019,0.004377,-0.003993,-0.035241,0.015406,-0.000361,-0.005628,Algerian,ALG200
Algerian:ALG210,-0.036423,0.13405,-0.006411,-0.070737,0.016003,-0.02761,-0.019271,0.007154,0.048268,0.024966,0.012666,-0.007343,0.027948,-0.014726,0.015608,-0.011668,0.002347,-0.01647,-0.029665,0.009129,-0.014225,-0.032397,0.020582,0.00494,0.002874,Algerian,ALG210
Algerian:ALG220,-0.05122,0.12491,-0.016216,-0.061047,0.018157,-0.038766,-0.021386,-0.000462,0.050517,0.033167,0.006333,-0.005095,0.020664,-0.01968,0.00665,-0.002917,-0.001695,-0.01951,-0.042109,0.01063,-0.005116,-0.035117,0.015529,-0.009278,0.006945,Algerian,ALG220
Algerian:ALG240,-0.117238,0.129988,-0.001886,-0.055556,0.012618,-0.027889,-0.015511,0.01223,0.044586,0.018588,0.009743,3.00E-04,0.024826,-0.006606,0.019001,-0.006099,-0.00013,-0.020017,-0.033813,0.015132,-0.010107,-0.025967,0.026868,-0.002169,0.006945,Algerian,ALG240
Algerian:ALG270,-0.027318,0.150298,0.011314,-0.065569,0.023697,-0.029841,-0.008695,0.000923,0.045404,0.034625,0.001949,-0.004496,0.008474,-0.020093,0.009772,-0.009414,-0.001695,-0.011275,-0.038966,0,-0.012228,-0.028069,0.018734,0.004458,0.009939,Algerian,ALG270
Algerian:ALG280,-0.05805,0.123895,-0.018856,-0.079458,0.014156,-0.034304,-0.015041,0.004154,0.048677,0.016948,-0.001949,-0.014387,0.028394,-0.007294,0.00855,0.003713,-0.003129,-0.016089,-0.036201,0.014382,-0.008111,-0.018177,0.017748,0.010604,-0.006945,Algerian,ALG280
Algerian:ALG400,-0.03187,0.140143,-0.009805,-0.072675,0.020927,-0.034025,-0.024676,0.012692,0.065243,0.040456,0.006333,-0.001499,0.02884,-0.024084,0.016965,-0.010342,-0.007171,-0.01875,-0.045377,0.016133,-0.010232,-0.037838,0.014297,-0.001687,0.008742,Algerian,ALG400
Algerian:ALG600,-0.033009,0.141159,-0.005657,-0.076551,0.025235,-0.03263,-0.038072,-0.006692,0.06013,0.039181,-0.000812,-0.006744,0.008474,-0.011147,0.013165,-0.01074,0.003912,-0.018116,-0.029288,0.004752,-0.005989,-0.02844,0.017501,-0.004338,0.004191,Algerian,ALG600
Algerian:ALG700,-0.03187,0.13405,-0.012445,-0.069445,0.028928,-0.034582,-0.022561,0.010846,0.051745,0.023508,0.006171,-0.006594,0.01442,-0.018992,0.013572,-0.017502,-0.012778,-0.016723,-0.040098,0.007754,-0.012104,-0.03079,0.022431,-0.006989,-0.00479,Algerian,ALG700
Algerian:ALG900,-0.01935,0.137096,-0.00528,-0.084303,0.023081,-0.031515,-0.022326,0.00923,0.062789,0.035354,0.003248,-0.01169,0.016353,-0.017203,0.013165,-0.014983,-0.000652,-0.022297,-0.038087,0.005253,-0.008984,-0.034005,0.017501,-0.005904,0.009221,Algerian,ALG900
Algerian:ALGE,-0.10927,0.123895,-0.010182,-0.062662,0.011694,-0.025379,-0.018331,0.000462,0.049699,0.015126,0.01088,0.005095,0.026164,-0.010459,0.016015,-0.017767,-0.017471,-0.006334,-0.019609,0.006253,-0.006738,-0.029429,0.014173,-0.003735,-0.000239,Algerian,ALGE
Algerian:Algerian43A13,-0.067156,0.139128,-0.006788,-0.075905,0.017542,-0.040718,-0.025851,0.005538,0.05788,0.032802,0.000974,-0.005695,0.031962,-0.013625,0.018322,-0.019491,-0.00678,-0.018497,-0.038464,0.010505,-0.025705,-0.021021,0.030072,0.003976,0.002155,Algerian,Algerian43A13
Algerian:Algerian43A21,-0.068294,0.127957,-0.010559,-0.063308,0.016618,-0.029562,-0.025616,0.011769,0.050722,0.019317,0.013153,-0.005095,0.020069,-0.015414,0.017236,-0.003447,0.007562,-0.016343,-0.039846,0.003377,-0.007237,-0.030419,0.015529,0.00482,0.002754,Algerian,Algerian43A21
Algerian:Algerian43A22,-0.064879,0.128972,-0.001886,-0.059109,0.024004,-0.023706,-0.028201,0.007615,0.062993,0.021686,0.00065,-0.004796,0.018434,-0.007019,0.014386,-0.01843,-0.01004,-0.012796,-0.02514,0.002626,-0.008859,-0.022381,0.019596,-0.00735,0.002275,Algerian,Algerian43A22
Algerian:Algerian43A23,-0.071709,0.136081,-0.012445,-0.070091,0.029544,-0.027331,-0.024676,0.01523,0.054812,0.031527,0.003897,-0.004946,0.012339,-0.003028,0.008822,-0.020154,-0.00665,-0.018243,-0.028911,0.003377,-0.017844,-0.022134,0.017378,0.001325,-0.002395,Algerian,Algerian43A23
Algerian:Algerian43A34,-0.03187,0.139128,-0.001131,-0.07106,0.035699,-0.034582,-0.025381,0.004384,0.052563,0.032256,0.005846,-0.004196,0.018137,-0.019818,0.019408,-0.014187,0.002347,-0.024324,-0.032807,0.011756,-0.012478,-0.036478,0.032414,-0.008555,-0.000958,Algerian,Algerian43A34
Algerian:ALGF,-0.198052,0.111708,-0.009428,-0.063308,0.01508,-0.02008,-0.019271,0.012461,0.041109,0.010752,-0.001137,-0.001649,0.015461,-0.018717,0.011265,0.003713,0.020992,0.003674,-0.021746,0.005628,0.000624,-0.021268,0.009737,0.004579,0.005508,Algerian,ALGF
Algerian:ALGG,-0.234476,0.109677,0.005657,-0.051034,0.012925,-0.0251,-0.023031,0.021691,0.040087,0.017312,0.007145,-0.013788,0.021556,-0.008808,0.001357,-0.015248,0.001825,-0.01761,-0.016341,-0.001626,-0.009483,-0.030913,0.015159,0.005302,-0.01437,Algerian,ALGG
