DNA sample ethnicity and id,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,DNA sample ethnicity,sample id
ARG_Yamana_100BP:I12943,0.054635,-0.327,0.120679,0.0969,-0.113252,-0.026216,-0.293998,-0.353062,-0.014112,-0.018953,-0.003735,-0.000899,0.003717,0.018992,-0.000814,0.003713,0.006389,-0.000253,-0.002514,-0.000875,-0.002745,-0.001484,0.000493,0.001325,-0.005389,ARG_Yamana_100BP,I12943
ARG_Yamana_1500BP:I12355,0.053497,-0.313799,0.118039,0.094316,-0.117253,-0.027331,-0.290708,-0.342678,-0.01084,-0.012392,-0.002436,0.003297,0,0.031516,-0.002986,0.00769,0.007171,-0.000887,-0.005656,0.004002,0.003993,0.010758,-0.00419,0.006868,-0.004191,ARG_Yamana_1500BP,I12355
ARM_Areni_C:I1407,0.111547,0.132019,-0.040729,-0.032623,-0.029236,-0.005857,0,-0.003461,-0.026793,-0.008383,0.015102,0.01169,-0.005798,-0.013212,-0.0057,0.005436,0,0.004814,0.007416,-0.01063,0.001248,0.001113,-0.002588,-0.008314,0.002275,ARM_Areni_C,I1407
ARM_Areni_C:I1631,0.113823,0.137096,-0.024136,-0.018734,-0.025235,-0.001394,0.00282,-0.008769,-0.024747,-0.016401,0.007795,-0.001649,-0.00446,0.010184,-0.007465,-0.014585,-0.016168,0.002534,-0.011941,-0.001751,-0.001872,0.004946,0.006286,-0.005543,0.007424,ARM_Areni_C,I1631
ARM_Areni_C:I1632,0.106994,0.132019,-0.034318,-0.036822,-0.023389,-0.004183,0.008225,-0.011076,-0.020043,0.002369,0.005359,0.005845,-0.010258,-0.008945,-0.005157,-0.011933,-0.008475,0.004941,0.005531,-0.005253,-0.004991,0.005564,0.001849,0.001566,0.004431,ARM_Areni_C,I1632
ARM_Areni_C:I1634,0.113823,0.129988,-0.02753,-0.024548,-0.033545,-0.010598,-0.002115,-0.006,-0.023111,-0.005103,0,0.009741,-0.006095,-0.004266,-0.005972,-0.019093,-0.014603,-0.00152,0.002765,-0.01013,-0.005989,-0.001237,0.000123,-0.000482,0.005029,ARM_Areni_C,I1634
ARM_LBA:RISE397,0.111547,0.119832,-0.040352,-0.013566,-0.03416,0.003068,0.008225,-0.017538,-0.032315,-0.014579,-0.016076,0.004646,-0.012339,0.000688,0.005972,-0.002784,0.004433,0.000127,0.002011,-0.006378,-0.019965,0.000495,0.011092,-0.002892,0.002994,ARM_LBA,RISE397
ARM_LBA:RISE407,0.101303,0.118817,-0.018479,0.002261,-0.038161,0.00753,0.0047,-0.001615,-0.048881,-0.017312,0.001461,0.003747,-0.007582,-0.001651,0.008279,0.002652,0.001304,-0.003167,0.012318,0.012756,0.006863,-0.004081,0.013927,-0.010965,-0.002155,ARM_LBA,RISE407
ARM_LBA:RISE412,0.088782,0.129988,-0.035449,-0.023902,-0.034776,-0.006693,-0.001645,-0.015922,-0.058494,-0.032074,-0.001137,-0.001349,0.001933,-0.012937,0.013708,-0.017502,-0.008475,0.005194,-0.008296,0.010505,-0.003868,-0.000742,-0.001725,0.006989,0.008023,ARM_LBA,RISE412
ARM_Lchashen_MBA:DA31,0.102441,0.103584,-0.036204,-0.01615,-0.0397,-0.006414,0.00423,-0.006231,-0.044791,-0.026424,0.007632,0.003897,-0.006838,-0.000826,0.015744,0.002917,0.007693,0.003041,0.001257,0.001251,-0.000749,-0.005812,-0.005669,-0.001928,-0.000359,ARM_Lchashen_MBA,DA31
